 
 ________________________________________________________________________ 
                                                                          
                              D U R A C O N                               
                                                                          
         Durability of Concrete Structures in Marine Environment          
                                                                          
                        Release v1.0 - March 2004                         
          Department of Civil Engineering - University of Minho           
 ________________________________________________________________________ 
 
File name: example5
Project name: Example Project - 3 ( 20040305 )
 
 
 ##### Input Data ##### 
 ________________________________________________________________________ 
 
  Number of simulations: n = 10000 
  Initial seed: i = 123456789 
  Concrete cover: xc = N(55.000,5.000)
  Diffusion Coefficient: Dcoef = LN(1.850,0.230)
  Critical Chloride Concenrtration: Ccr = N(0.080,0.015)
  Surface Chloride Concenrtration: Cs = N(0.856,0.117)
  Age exponent: n = N(0.370,0.050)
  Time: t = D(0.000,50.000)
  Time of testing: to = D(28.000) 
 
 ##### Output Data ##### 
 ________________________________________________________________________ 
 
  Time     Prob.       Std.            Beta            Prob. Failure
  (years)  Failure     Error           Index           (Beta Index) 
 
    214   0            1.51907921e+000    5.49647690e+001    5.34456898e+001 
    215   1           -1.91760123e+001    5.39242654e+001    7.31002777e+001 
    216   1           -1.48919520e+001    5.45465010e+001    6.94384531e+001 
    217   1           -9.71295322e+000    4.90447934e+001    5.87577466e+001 
    218   1           -1.48998137e+001    5.63095974e+001    7.12094111e+001 
    219   1           -4.02463385e+001    4.37727669e+001    8.40191054e+001 
    220   1           -2.33656434e+001    5.36188795e+001    7.69845229e+001 
    221   1           -7.52872738e+000    6.09206483e+001    6.84493757e+001 
    222   1           -2.17492234e+001    4.69785627e+001    6.87277861e+001 
    223   1           -8.73708355e+000    5.07050210e+001    5.94421045e+001 
    224   1           -2.90990152e+001    4.93874791e+001    7.84864942e+001 
    225   1           -1.42935202e+001    5.79625271e+001    7.22560473e+001 
    226   1           -2.45085853e+001    4.94844648e+001    7.39930500e+001 
    227   1           -1.43787324e+001    5.36017234e+001    6.79804558e+001 
    228   1           -2.51470392e+001    5.05263583e+001    7.56733975e+001 
    229   1           -1.17888718e+001    5.56501941e+001    6.74390659e+001 
    230   0            4.91712023e+000    5.72642442e+001    5.23471239e+001 
    231   0            6.37742966e+000    6.40090988e+001    5.76316692e+001 
    232   1           -5.34391890e+000    5.88602276e+001    6.42041465e+001 
    233   1           -1.24516292e+001    4.66798713e+001    5.91315005e+001 
    234   1           -4.88451538e+000    5.36626689e+001    5.85471843e+001 
    235   0            2.83047172e+001    5.84485250e+001    3.01438078e+001 
    236   1           -6.22733596e+000    5.30829402e+001    5.93102762e+001 
    237   1           -1.15418661e+001    5.36382559e+001    6.51801221e+001 
    238   1           -1.75161172e+001    5.61949154e+001    7.37110326e+001 
    239   0            1.12626849e+001    6.10774686e+001    4.98147837e+001 
    240   1           -1.02949070e+001    4.95805457e+001    5.98754527e+001 
    241   0            9.28902823e-001    5.68345065e+001    5.59056037e+001 
    242   0            4.56406316e+000    5.55878148e+001    5.10237517e+001 
    243   1           -4.77399442e+001    5.16883819e+001    9.94283261e+001 
