 
 ________________________________________________________________________ 
                                                                          
                              D U R A C O N                               
                                                                          
         Durability of Concrete Structures in Marine Environment          
                                                                          
                        Release v1.0 - March 2004                         
          Department of Civil Engineering - University of Minho           
 ________________________________________________________________________ 
 
File name: simulation
Project name: Example Project - 3 ( 20040305 )
 
 
 ##### Input Data ##### 
 ________________________________________________________________________ 
 
  Number of simulations: n = 10000 
  Initial seed: i = 123456789 
  Concrete cover: xc = N(55.000,5.000)
  Diffusion Coefficient: Dcoef = LN(1.850,0.230)
  Critical Chloride Concenrtration: Ccr = N(0.080,0.015)
  Surface Chloride Concenrtration: Cs = N(0.856,0.117)
  Age exponent: n = N(0.370,0.050)
  Time: t = D(0.000,50.000)
  Time of testing: to = D(28.000) 
 
 ##### Output Data ##### 
 ________________________________________________________________________ 
 
  Time     Prob.       Std.            Beta            Prob. Failure
  (years)  Failure     Error           Index           (Beta Index) 
 
    129   1           -3.86922401e+001    6.03496133e+001    9.90418534e+001 
    130   1           -1.40426795e+001    5.52345058e+001    6.92771853e+001 
    131   1           -4.59051882e+001    6.91939581e+001    1.15099146e+002 
    132   1           -4.18688791e+000    5.38886560e+001    5.80755439e+001 
    133   1           -1.17675309e+001    5.47859334e+001    6.65534643e+001 
    134   1           -1.36768974e+001    5.21401403e+001    6.58170377e+001 
    135   1           -2.44379837e+001    5.66573200e+001    8.10953037e+001 
    136   1           -3.17617416e+001    5.61902263e+001    8.79519679e+001 
    137   1           -1.15029305e+001    5.09842450e+001    6.24871755e+001 
    138   1           -5.96356400e-001    5.79682630e+001    5.85646194e+001 
    139   1           -1.89801167e+001    4.60398335e+001    6.50199501e+001 
    140   0            2.45946147e+000    5.34468101e+001    5.09873487e+001 
    141   1           -4.97268492e+001    5.77642394e+001    1.07491089e+002 
    142   0            4.35954925e+000    5.43038858e+001    4.99443366e+001 
    143   1           -1.44411173e+001    5.92494156e+001    7.36905329e+001 
    144   1           -1.74287217e+001    5.61264907e+001    7.35552124e+001 
    145   1           -4.46240760e+001    5.28181974e+001    9.74422734e+001 
    146   1           -2.59653589e+001    5.03769700e+001    7.63423289e+001 
    147   1           -3.48832528e+001    5.24316014e+001    8.73148543e+001 
    148   1           -1.63728672e+001    5.42897208e+001    7.06625880e+001 
    149   1           -3.68669667e+001    5.32433988e+001    9.01103655e+001 
    150   1           -1.49263406e+001    5.34279116e+001    6.83542522e+001 
    151   1           -1.84625622e+001    5.98525156e+001    7.83150778e+001 
    152   1           -1.76894930e+001    5.51658058e+001    7.28552989e+001 
    153   1           -3.95188237e+000    6.02443177e+001    6.41962000e+001 
    154   1           -4.06733176e+001    4.79468084e+001    8.86201261e+001 
    155   1           -2.19263518e+001    4.83900326e+001    7.03163843e+001 
    156   1           -1.92591639e+001    5.04073468e+001    6.96665107e+001 
    157   1           -2.83629408e+001    5.81397476e+001    8.65026884e+001 
    158   0            5.01039457e+000    5.56919652e+001    5.06815706e+001 
    159   0            8.80148099e-001    5.70668257e+001    5.61866776e+001 
    160   0            5.14977786e+000    5.19668482e+001    4.68170703e+001 
    161   1           -2.29291670e+001    5.77188919e+001    8.06480589e+001 
    162   1           -5.12674207e+000    4.63855636e+001    5.15123057e+001 
    163   1           -1.52486208e+001    4.53051220e+001    6.05537428e+001 
    164   0            8.38330450e+000    5.12994446e+001    4.29161401e+001 
    165   1           -6.52589982e+000    5.39403164e+001    6.04662163e+001 
    166   1           -1.48822341e+001    5.37439037e+001    6.86261378e+001 
    167   1           -3.04423882e+001    4.95249241e+001    7.99673123e+001 
    168   1           -1.21737579e+001    5.36975670e+001    6.58713248e+001 
    169   1           -2.31897904e+001    4.82254410e+001    7.14152314e+001 
    170   1           -2.11586550e+001    6.19648269e+001    8.31234819e+001 
    171   1           -9.97631842e-001    6.48452205e+001    6.58428523e+001 
    172   1           -2.08035320e+001    5.76213911e+001    7.84249232e+001 
    173   1           -1.22834214e+001    5.63156853e+001    6.85991066e+001 
    174   1           -1.30032069e+001    5.38174406e+001    6.68206475e+001 
    175   1           -2.23448382e+001    5.39819485e+001    7.63267867e+001 
    176   1           -4.08114426e+001    5.55829102e+001    9.63943528e+001 
    177   0            8.90370486e+000    6.02805719e+001    5.13768670e+001 
    178   1           -1.08087570e+001    5.48596513e+001    6.56684083e+001 
    179   1           -3.17849264e+001    5.15201532e+001    8.33050795e+001 
    180   1           -1.55986622e+001    6.01446410e+001    7.57433032e+001 
    181   1           -6.51941467e+001    4.50892512e+001    1.10283398e+002 
    182   1           -3.25267380e+001    5.65416397e+001    8.90683777e+001 
    183   1           -2.01523623e+000    6.03001645e+001    6.23154007e+001 
    184   1           -5.07271756e+000    5.89328609e+001    6.40055784e+001 
    185   0            5.67419032e+000    5.60754703e+001    5.04012800e+001 
    186   1           -3.25936253e+001    5.70982655e+001    8.96918908e+001 
    187   1           -2.68707776e+001    6.09334363e+001    8.78042139e+001 
    188   0            8.69893486e+000    5.09308583e+001    4.22319235e+001 
    189   1           -7.85099951e+000    6.05059239e+001    6.83569234e+001 
    190   1           -1.95936192e+001    4.81256017e+001    6.77192209e+001 
    191   1           -3.20093479e+000    6.05240106e+001    6.37249454e+001 
    192   1           -6.85426389e+000    5.50437595e+001    6.18980233e+001 
    193   1           -1.44702765e+001    5.80020839e+001    7.24723604e+001 
    194   1           -2.49125483e+001    4.91709730e+001    7.40835214e+001 
    195   1           -2.84415656e+000    5.90970063e+001    6.19411629e+001 
    196   1           -9.77525620e+000    6.02987422e+001    7.00739984e+001 
    197   1           -1.11871727e+001    5.25527293e+001    6.37399020e+001 
    198   1           -3.60641384e+001    5.09450490e+001    8.70091874e+001 
    199   1           -1.56746590e+001    5.85934040e+001    7.42680631e+001 
    200   0            9.51278912e+000    5.82964538e+001    4.87836647e+001 
    201   0            9.98630890e+000    5.96435079e+001    4.96571990e+001 
    202   0            1.71330606e+001    6.09850322e+001    4.38519716e+001 
    203   1           -4.55903187e+000    6.17645263e+001    6.63235582e+001 
    204   1           -1.75185605e+001    5.49449766e+001    7.24635371e+001 
    205   1           -2.07003800e+001    4.60955478e+001    6.67959278e+001 
    206   1           -7.92753219e+000    6.27920685e+001    7.07196007e+001 
    207   1           -1.43193392e+001    4.75169190e+001    6.18362581e+001 
    208   0            8.57211500e+000    5.40961736e+001    4.55240586e+001 
    209   1           -9.38283828e+000    4.35499611e+001    5.29327994e+001 
    210   1           -7.79098255e+000    5.59985770e+001    6.37895595e+001 
    211   1           -3.47614528e+000    6.72753987e+001    7.07515439e+001 
    212   0            6.68529923e+000    5.99540881e+001    5.32687888e+001 
    213   0            5.93112787e+000    5.28072816e+001    4.68761537e+001 
    214   0            1.97093662e-001    5.49647690e+001    5.47676753e+001 
    215   1           -2.09841564e+001    5.39242654e+001    7.49084218e+001 
    216   1           -1.66095205e+001    5.45465010e+001    7.11560215e+001 
    217   1           -1.11663331e+001    4.90447934e+001    6.02111265e+001 
    218   1           -1.66611871e+001    5.63095974e+001    7.29707844e+001 
    219   1           -4.23245612e+001    4.37727669e+001    8.60973281e+001 
    220   1           -2.52698648e+001    5.36188795e+001    7.88887443e+001 
    221   1           -9.22183090e+000    6.09206483e+001    7.01424792e+001 
    222   1           -2.34492134e+001    4.69785627e+001    7.04277761e+001 
    223   1           -1.02073911e+001    5.07050210e+001    6.09124121e+001 
    224   1           -3.10403880e+001    4.93874791e+001    8.04278671e+001 
    225   1           -1.60807822e+001    5.79625271e+001    7.40433093e+001 
    226   1           -2.63388122e+001    4.94844648e+001    7.58232770e+001 
    227   1           -1.60602371e+001    5.36017234e+001    6.96619605e+001 
    228   1           -2.70188298e+001    5.05263583e+001    7.75451881e+001 
    229   1           -1.34569852e+001    5.56501941e+001    6.91071793e+001 
    230   0            3.62230784e+000    5.72642442e+001    5.36419363e+001 
    231   0            4.95190341e+000    6.40090988e+001    5.90571954e+001 
    232   1           -6.93201617e+000    5.88602276e+001    6.57922437e+001 
    233   1           -1.39142540e+001    4.66798713e+001    6.05941253e+001 
    234   1           -6.33268701e+000    5.36626689e+001    5.99953559e+001 
    235   0            2.75591065e+001    5.84485250e+001    3.08894185e+001 
    236   1           -7.69438275e+000    5.30829402e+001    6.07773230e+001 
    237   1           -1.31541043e+001    5.36382559e+001    6.67923602e+001 
    238   1           -1.93393684e+001    5.61949154e+001    7.55342838e+001 
    239   0            1.00305102e+001    6.10774686e+001    5.10469583e+001 
    240   1           -1.17759335e+001    4.95805457e+001    6.13564792e+001 
    241   1           -4.53928990e-001    5.68345065e+001    5.72884355e+001 
    242   0            3.30198454e+000    5.55878148e+001    5.22858303e+001 
    243   1           -5.01993158e+001    5.16883819e+001    1.01887698e+002 
    244   0            2.43987193e-001    5.01509375e+001    4.99069504e+001 
    245   1           -1.12718857e+001    5.19697245e+001    6.32416101e+001 
    246   1           -2.35712835e+001    4.99338030e+001    7.35050865e+001 
    247   1           -4.33463450e+000    6.01658161e+001    6.45004506e+001 
    248   0            6.01334692e+000    5.87243962e+001    5.27110493e+001 
    249   1           -1.47790820e+001    5.61472484e+001    7.09263304e+001 
    250   1           -5.60029627e+000    5.72199627e+001    6.28202590e+001 
    251   1           -9.37834098e+000    5.72906831e+001    6.66690240e+001 
    252   1           -3.90206683e+000    5.59706816e+001    5.98727485e+001 
    253   1           -1.51523942e+001    5.97825204e+001    7.49349145e+001 
    254   1           -1.24103875e+001    5.04054802e+001    6.28158677e+001 
    255   1           -8.42795012e+000    5.55992013e+001    6.40271514e+001 
    256   1           -8.86871265e+000    5.23893320e+001    6.12580447e+001 
    257   1           -3.61598908e+001    5.61148380e+001    9.22747287e+001 
    258   1           -1.54747395e+001    5.28962284e+001    6.83709679e+001 
    259   0            2.15466575e+000    5.51923028e+001    5.30376370e+001 
    260   1           -1.55802902e+001    5.34560744e+001    6.90363646e+001 
    261   1           -4.80023945e+001    6.43801067e+001    1.12382501e+002 
    262   1           -2.76438028e+001    5.26917031e+001    8.03355059e+001 
    263   1           -8.97869328e+000    5.82267986e+001    6.72054919e+001 
    264   1           -1.34130767e+001    5.28427752e+001    6.62558518e+001 
    265   1           -2.00361143e+001    4.27211086e+001    6.27572229e+001 
    266   1           -2.56767760e+001    5.23560616e+001    7.80328376e+001 
    267   1           -1.43590047e+001    4.50528254e+001    5.94118301e+001 
    268   0            3.53028875e+000    5.13899367e+001    4.78596480e+001 
    269   0            4.26107521e+000    5.67887962e+001    5.25277210e+001 
    270   1           -1.47772878e+001    5.32885798e+001    6.80658676e+001 
    271   1           -2.71924907e+000    5.44770513e+001    5.71963003e+001 
    272   1           -8.15410402e+000    6.17894772e+001    6.99435812e+001 
    273   1           -1.47548438e+001    5.60775230e+001    7.08323667e+001 
    274   1           -3.30618880e+001    5.20057338e+001    8.50676218e+001 
    275   1           -8.43343575e+000    4.72952899e+001    5.57287257e+001 
    276   1           -1.00050675e+001    5.11784341e+001    6.11835016e+001 
    277   0            1.56311058e+000    5.57081772e+001    5.41450666e+001 
    278   1           -1.69787206e+000    5.20284133e+001    5.37262854e+001 
    279   1           -7.33351889e+000    5.71041736e+001    6.44376925e+001 
    280   0            8.69587814e+000    6.05958148e+001    5.18999366e+001 
    281   1           -1.14413848e+001    5.66506179e+001    6.80920027e+001 
    282   1           -3.55129937e+001    5.17834161e+001    8.72964097e+001 
    283   0            8.61348604e+000    6.50368868e+001    5.64234008e+001 
    284   1           -1.81976304e+001    5.86371753e+001    7.68348057e+001 
    285   1           -2.38233408e+000    5.91594204e+001    6.15417545e+001 
    286   1           -1.84894693e+001    5.87344591e+001    7.72239285e+001 
    287   1           -2.36281036e+001    5.87167492e+001    8.23448528e+001 
    288   0            1.65196638e+000    6.60837211e+001    6.44317548e+001 
    289   1           -1.48677101e+001    6.02018502e+001    7.50695603e+001 
    290   1           -5.21173789e+000    5.38690621e+001    5.90807999e+001 
    291   1           -3.37125572e+001    5.13607338e+001    8.50732910e+001 
    292   1           -1.26227004e+001    5.58614992e+001    6.84841996e+001 
    293   0            2.11913048e+000    5.75362512e+001    5.54171207e+001 
    294   1           -4.56269103e+000    5.45263723e+001    5.90890633e+001 
